GP,rho_s1,rho_s2,rho_s3
Abu Dhabi Grand Prix,0.6406015037593984,0.8030075187969924,0.8943212366185493
Australian Grand Prix,0.9649122807017543,0.856140350877193,0.9508771929824561
Austrian Grand Prix,0.7654135338345864,0.6857142857142857,0.9067669172932331
Azerbaijan Grand Prix,0.7338345864661654,0.8902255639097743,0.21963145592314248
Bahrain Grand Prix,0.9383458646616539,0.956390977443609,0.9067669172932331
Belgian Grand Prix,0.3639097744360902,0.8875517739359867,0.4302369616028681
British Grand Prix,0.9308270676691727,0.9458646616541352,0.8721804511278194
Canadian Grand Prix,0.7744360902255639,0.956390977443609,0.8736842105263156
Chinese Grand Prix,0.8165413533834586,0.8451127819548873,0.9071079994633899
Dutch Grand Prix,0.853883364342825,0.816147511653471,0.787719298245614
Emilia Romagna Grand Prix,0.923212023934894,0.9433963172338509,0.8538833643428251
Hungarian Grand Prix,0.6566378802085733,0.917638274747376,0.8243701222320691
Italian Grand Prix,0.4872180451127819,0.8601503759398496,0.956390977443609
Japanese Grand Prix,0.8634825732868752,0.9308270676691727,0.8466165413533834
Las Vegas Grand Prix,0.9398496240601503,0.9609022556390976,0.9097744360902256
Mexico City Grand Prix,0.9112781954887217,0.9620158634441753,0.8649868983274447
Miami Grand Prix,0.9097744360902256,0.9533834586466164,0.6598948444450496
Monaco Grand Prix,0.9078601619836745,0.956390977443609,0.9642723510050296
Qatar Grand Prix,0.9578947368421054,0.956390977443609,0.9052631578947368
Saudi Arabian Grand Prix,0.875187969924812,0.8150375939849623,0.825563909774436
Singapore Grand Prix,0.7744360902255639,0.9338345864661652,0.6360902255639098
Spanish Grand Prix,0.8781954887218045,0.9699248120300751,0.9203007518796992
São Paulo Grand Prix,0.7245614035087719,0.8310663371353085,0.7263157894736841
United States Grand Prix,0.8205354015010703,0.7701754385964912,0.956140350877193
