Piloto,Equipe,S1,S2,S3,Tempo de Volta,Position,Ano,GP
NOR,McLaren,25.961,16.997,32.138,75.096,1,2025,Australian Grand Prix
PIA,McLaren,26.082,16.951999999999998,32.146,75.18,2,2025,Australian Grand Prix
VER,Red Bull Racing,26.066,16.915,32.5,75.481,3,2025,Australian Grand Prix
RUS,Mercedes,26.163,16.951,32.432,75.546,4,2025,Australian Grand Prix
TSU,Racing Bulls,26.19,17.005,32.475,75.67,5,2025,Australian Grand Prix
ALB,Williams,26.215,16.978,32.544,75.737,6,2025,Australian Grand Prix
LEC,Ferrari,26.194,17.025,32.536,75.755,7,2025,Australian Grand Prix
HAM,Ferrari,26.15,17.223,32.546,75.919,8,2025,Australian Grand Prix
GAS,Alpine,26.293,17.087,32.6,75.98,9,2025,Australian Grand Prix
SAI,Williams,26.269,17.078,32.584,75.931,10,2025,Australian Grand Prix
HAD,Racing Bulls,26.345,17.148,32.682,76.175,11,2025,Australian Grand Prix
ALO,Aston Martin,26.3,17.107,32.881,76.288,12,2025,Australian Grand Prix
STR,Aston Martin,26.474,17.151,32.744,76.369,13,2025,Australian Grand Prix
DOO,Alpine,26.381,17.15,32.784,76.315,14,2025,Australian Grand Prix
BOR,Kick Sauber,26.495,17.22,32.801,76.516,15,2025,Australian Grand Prix
ANT,Mercedes,26.443,17.166,32.916,76.525,16,2025,Australian Grand Prix
HUL,Kick Sauber,26.656,17.201,32.722,76.579,17,2025,Australian Grand Prix
LAW,Red Bull Racing,26.819,17.362,32.913,77.094,18,2025,Australian Grand Prix
OCO,Haas F1 Team,26.686,17.206,33.255,77.147,19,2025,Australian Grand Prix
PIA,McLaren,23.996,27.227,39.418,90.641,1,2025,Chinese Grand Prix
RUS,Mercedes,24.068,27.221,39.434,90.723,2,2025,Chinese Grand Prix
NOR,McLaren,23.954,27.257,39.576,90.787,3,2025,Chinese Grand Prix
VER,Red Bull Racing,23.945,27.313,39.559,90.817,4,2025,Chinese Grand Prix
HAM,Ferrari,24.148,27.175,39.604,90.927,5,2025,Chinese Grand Prix
LEC,Ferrari,24.094,27.355,39.572,91.021,6,2025,Chinese Grand Prix
HAD,Racing Bulls,24.16,27.213,39.706,91.079,7,2025,Chinese Grand Prix
ANT,Mercedes,24.176,27.301,39.626,91.103,8,2025,Chinese Grand Prix
TSU,Racing Bulls,24.276,27.203,39.759,91.238,9,2025,Chinese Grand Prix
ALB,Williams,24.237,27.477,39.789,91.503,10,2025,Chinese Grand Prix
OCO,Haas F1 Team,24.246,27.489,39.89,91.625,11,2025,Chinese Grand Prix
HUL,Kick Sauber,24.256,27.481,39.895,91.632,12,2025,Chinese Grand Prix
ALO,Aston Martin,24.067,27.56,40.061,91.688,13,2025,Chinese Grand Prix
STR,Aston Martin,24.267,27.391,40.115,91.773,14,2025,Chinese Grand Prix
SAI,Williams,24.289,27.48,39.859,91.628,15,2025,Chinese Grand Prix
GAS,Alpine,24.128,27.601,40.263,91.992,16,2025,Chinese Grand Prix
BEA,Haas F1 Team,24.427,27.599,39.992,92.018,17,2025,Chinese Grand Prix
DOO,Alpine,24.407,27.655,40.03,92.092,18,2025,Chinese Grand Prix
BOR,Kick Sauber,24.516,27.517,40.108,92.141,19,2025,Chinese Grand Prix
LAW,Red Bull Racing,24.522,27.622,40.03,92.174,20,2025,Chinese Grand Prix
VER,Red Bull Racing,30.387,39.355,17.241,86.983,1,2025,Japanese Grand Prix
NOR,McLaren,30.358,39.301,17.336,86.995,2,2025,Japanese Grand Prix
PIA,McLaren,30.625,39.197,17.205,87.027,3,2025,Japanese Grand Prix
LEC,Ferrari,30.535,39.352,17.412,87.299,4,2025,Japanese Grand Prix
RUS,Mercedes,30.376,39.599,17.343,87.318,5,2025,Japanese Grand Prix
ANT,Mercedes,30.669,39.503,17.383,87.555,6,2025,Japanese Grand Prix
HAD,Racing Bulls,30.663,39.471,17.435,87.569,7,2025,Japanese Grand Prix
HAM,Ferrari,30.699,39.454,17.457,87.61,8,2025,Japanese Grand Prix
ALB,Williams,30.604,39.612,17.399,87.615,9,2025,Japanese Grand Prix
BEA,Haas F1 Team,30.669,39.639,17.403,87.711,10,2025,Japanese Grand Prix
GAS,Alpine,30.593,39.84,17.389,87.822,11,2025,Japanese Grand Prix
SAI,Williams,30.76,39.579,17.497,87.836,12,2025,Japanese Grand Prix
ALO,Aston Martin,30.633,39.705,17.559,87.897,13,2025,Japanese Grand Prix
LAW,Racing Bulls,30.879,39.634,17.393,87.906,14,2025,Japanese Grand Prix
TSU,Red Bull Racing,30.839,39.679,17.449,87.967,15,2025,Japanese Grand Prix
HUL,Kick Sauber,31.082,39.984,17.504,88.57,16,2025,Japanese Grand Prix
BOR,Kick Sauber,31.08,40.0,17.542,88.622,17,2025,Japanese Grand Prix
OCO,Haas F1 Team,31.041,40.137,17.518,88.696,18,2025,Japanese Grand Prix
DOO,Alpine,30.983,40.186,17.708,88.877,19,2025,Japanese Grand Prix
STR,Aston Martin,31.034,40.483,17.754,89.271,20,2025,Japanese Grand Prix
PIA,McLaren,28.784,38.574,22.483,89.841,1,2025,Bahrain Grand Prix
RUS,Mercedes,28.771,38.71,22.528,90.009,2,2025,Bahrain Grand Prix
LEC,Ferrari,28.926,38.714,22.535,90.175,3,2025,Bahrain Grand Prix
ANT,Mercedes,28.836,38.786,22.591,90.213,4,2025,Bahrain Grand Prix
GAS,Alpine,28.883,38.694,22.639,90.216,5,2025,Bahrain Grand Prix
NOR,McLaren,29.007,38.678,22.582,90.267,6,2025,Bahrain Grand Prix
VER,Red Bull Racing,28.88,38.855,22.688,90.423,7,2025,Bahrain Grand Prix
SAI,Williams,28.894,39.063,22.723,90.68,8,2025,Bahrain Grand Prix
HAM,Ferrari,28.955,39.058,22.759,90.772,9,2025,Bahrain Grand Prix
TSU,Red Bull Racing,29.067,39.177,22.984,91.228,10,2025,Bahrain Grand Prix
DOO,Alpine,29.094,39.215,22.936,91.245,11,2025,Bahrain Grand Prix
HAD,Racing Bulls,29.081,39.267,22.923000000000002,91.271,12,2025,Bahrain Grand Prix
ALO,Aston Martin,29.231,39.502,22.901,91.634,13,2025,Bahrain Grand Prix
OCO,Haas F1 Team,29.154,39.527,22.913,91.594,14,2025,Bahrain Grand Prix
ALB,Williams,29.227,39.776,23.037,92.04,15,2025,Bahrain Grand Prix
HUL,Kick Sauber,29.4,39.49,23.177,92.067,16,2025,Bahrain Grand Prix
LAW,Racing Bulls,29.327,39.88,22.958,92.165,17,2025,Bahrain Grand Prix
BOR,Kick Sauber,29.576999999999998,39.608,23.001,92.186,18,2025,Bahrain Grand Prix
STR,Aston Martin,29.282,39.858,23.143,92.283,19,2025,Bahrain Grand Prix
BEA,Haas F1 Team,29.319,40.089,22.965,92.373,20,2025,Bahrain Grand Prix
VER,Red Bull Racing,31.507,27.756,28.031,87.294,1,2025,Saudi Arabian Grand Prix
PIA,McLaren,31.63,27.685,27.989,87.304,2,2025,Saudi Arabian Grand Prix
RUS,Mercedes,31.684,27.576999999999998,28.146,87.407,3,2025,Saudi Arabian Grand Prix
LEC,Ferrari,31.857,27.796,28.017,87.67,4,2025,Saudi Arabian Grand Prix
ANT,Mercedes,31.92,27.784,28.094,87.798,5,2025,Saudi Arabian Grand Prix
SAI,Williams,32.062,27.822,28.14,88.024,6,2025,Saudi Arabian Grand Prix
HAM,Ferrari,31.972,27.922,28.208,88.102,7,2025,Saudi Arabian Grand Prix
TSU,Red Bull Racing,31.919,27.841,28.23,87.99,8,2025,Saudi Arabian Grand Prix
GAS,Alpine,32.136,27.816,28.073,88.025,9,2025,Saudi Arabian Grand Prix
NOR,McLaren,31.745,27.684,28.052,87.481,10,2025,Saudi Arabian Grand Prix
ALB,Williams,31.901,27.806,28.402,88.109,11,2025,Saudi Arabian Grand Prix
LAW,Racing Bulls,32.087,27.89,28.214,88.191,12,2025,Saudi Arabian Grand Prix
ALO,Aston Martin,32.021,27.852,28.43,88.303,13,2025,Saudi Arabian Grand Prix
HAD,Racing Bulls,32.209,27.887,28.322,88.418,14,2025,Saudi Arabian Grand Prix
BEA,Haas F1 Team,32.497,27.817,28.222,88.536,15,2025,Saudi Arabian Grand Prix
STR,Aston Martin,32.072,28.054,28.519,88.645,16,2025,Saudi Arabian Grand Prix
DOO,Alpine,32.223,28.123,28.393,88.739,17,2025,Saudi Arabian Grand Prix
HUL,Kick Sauber,32.477,27.982,28.323,88.782,18,2025,Saudi Arabian Grand Prix
OCO,Haas F1 Team,32.718,28.042,28.332,89.092,19,2025,Saudi Arabian Grand Prix
BOR,Kick Sauber,32.653,28.264,28.545,89.462,20,2025,Saudi Arabian Grand Prix
VER,Red Bull Racing,28.246,33.079,24.879,86.204,1,2025,Miami Grand Prix
NOR,McLaren,28.433,32.901,24.935,86.269,2,2025,Miami Grand Prix
ANT,Mercedes,28.484,32.983,24.804,86.271,3,2025,Miami Grand Prix
PIA,McLaren,28.413,33.032,24.824,86.269,4,2025,Miami Grand Prix
RUS,Mercedes,28.622,33.007,24.756,86.385,5,2025,Miami Grand Prix
SAI,Williams,28.707,33.113,24.749,86.569,6,2025,Miami Grand Prix
ALB,Williams,28.633,33.261,24.788,86.682,7,2025,Miami Grand Prix
LEC,Ferrari,28.668,33.283,24.803,86.754,8,2025,Miami Grand Prix
OCO,Haas F1 Team,28.69,33.26,24.874,86.824,9,2025,Miami Grand Prix
TSU,Red Bull Racing,28.551,33.41,24.982,86.943,10,2025,Miami Grand Prix
HAD,Racing Bulls,28.705,33.422,24.86,86.987,11,2025,Miami Grand Prix
HAM,Ferrari,28.759,33.302,24.945,87.006,12,2025,Miami Grand Prix
BOR,Kick Sauber,28.808,33.309,25.034,87.151,13,2025,Miami Grand Prix
DOO,Alpine,28.643,33.52,25.023,87.186,14,2025,Miami Grand Prix
LAW,Racing Bulls,28.855,33.557,24.951,87.363,15,2025,Miami Grand Prix
HUL,Kick Sauber,28.781,33.747,24.945,87.473,16,2025,Miami Grand Prix
ALO,Aston Martin,28.851,33.868,24.885,87.604,17,2025,Miami Grand Prix
GAS,Alpine,28.962,33.714,25.034,87.71,18,2025,Miami Grand Prix
STR,Aston Martin,29.106,33.837,24.887,87.83,19,2025,Miami Grand Prix
BEA,Haas F1 Team,29.116,33.765,25.118,87.999,20,2025,Miami Grand Prix
PIA,McLaren,23.677,25.747,25.246,74.67,1,2025,Emilia Romagna Grand Prix
VER,Red Bull Racing,23.495,25.976,25.233,74.704,2,2025,Emilia Romagna Grand Prix
RUS,Mercedes,23.791,25.815,25.201,74.807,3,2025,Emilia Romagna Grand Prix
NOR,McLaren,23.907,25.921,25.134,74.962,4,2025,Emilia Romagna Grand Prix
ALO,Aston Martin,23.87,25.941,25.62,75.431,5,2025,Emilia Romagna Grand Prix
SAI,Williams,23.663,26.15,25.385,75.198,6,2025,Emilia Romagna Grand Prix
ALB,Williams,23.738,26.159,25.576,75.473,7,2025,Emilia Romagna Grand Prix
STR,Aston Martin,23.814,26.153,25.53,75.497,8,2025,Emilia Romagna Grand Prix
HAD,Racing Bulls,24.05,26.055,25.405,75.51,9,2025,Emilia Romagna Grand Prix
GAS,Alpine,23.957,26.233,25.315,75.505,10,2025,Emilia Romagna Grand Prix
LEC,Ferrari,24.007,26.208,25.389,75.604,11,2025,Emilia Romagna Grand Prix
HAM,Ferrari,24.132,26.188,25.445,75.765,12,2025,Emilia Romagna Grand Prix
ANT,Mercedes,24.012,26.168,25.592,75.772,13,2025,Emilia Romagna Grand Prix
BOR,Kick Sauber,24.182,26.389,25.689,76.26,14,2025,Emilia Romagna Grand Prix
COL,Alpine,24.16,26.391,25.705,76.256,15,2025,Emilia Romagna Grand Prix
LAW,Racing Bulls,24.297,26.369,25.713,76.379,16,2025,Emilia Romagna Grand Prix
BEA,Haas F1 Team,24.154,26.262,25.661,76.077,16,2025,Emilia Romagna Grand Prix
HUL,Kick Sauber,24.186,26.589,25.743,76.518,17,2025,Emilia Romagna Grand Prix
OCO,Haas F1 Team,24.341,26.54,25.732,76.613,18,2025,Emilia Romagna Grand Prix
NOR,McLaren,18.216,33.254,18.484,69.954,1,2025,Monaco Grand Prix
LEC,Ferrari,18.29,33.18,18.593,70.063,2,2025,Monaco Grand Prix
PIA,McLaren,18.17,33.433,18.526,70.129,3,2025,Monaco Grand Prix
HAM,Ferrari,18.368,33.385,18.629,70.382,4,2025,Monaco Grand Prix
VER,Red Bull Racing,18.411,33.601,18.657,70.669,5,2025,Monaco Grand Prix
HAD,Racing Bulls,18.388,33.778,18.757,70.923,6,2025,Monaco Grand Prix
ALO,Aston Martin,18.515,33.737,18.672,70.924,7,2025,Monaco Grand Prix
OCO,Haas F1 Team,18.485,33.664,18.793,70.942,8,2025,Monaco Grand Prix
LAW,Racing Bulls,18.489,33.868,18.772,71.129,9,2025,Monaco Grand Prix
ALB,Williams,18.369,33.616,18.747,70.732,10,2025,Monaco Grand Prix
SAI,Williams,18.523,33.954,18.885,71.362,11,2025,Monaco Grand Prix
TSU,Red Bull Racing,18.731,33.801,18.883,71.415,12,2025,Monaco Grand Prix
HUL,Kick Sauber,18.755,34.038,18.803,71.596,13,2025,Monaco Grand Prix
RUS,Mercedes,18.555,34.069,18.883,71.507,14,2025,Monaco Grand Prix
ANT,Mercedes,18.731,34.015,19.134,71.88,15,2025,Monaco Grand Prix
BOR,Kick Sauber,18.786,34.067,19.049,71.902,16,2025,Monaco Grand Prix
BEA,Haas F1 Team,18.595,34.062,19.322,71.979,17,2025,Monaco Grand Prix
GAS,Alpine,18.632,34.214,19.148,71.994,18,2025,Monaco Grand Prix
STR,Aston Martin,18.898,34.263,19.402,72.563,19,2025,Monaco Grand Prix
COL,Alpine,18.756,34.535,19.306,72.597,20,2025,Monaco Grand Prix
PIA,McLaren,21.259,28.58,21.707,71.546,1,2025,Spanish Grand Prix
NOR,McLaren,21.27,28.709,21.776,71.755,2,2025,Spanish Grand Prix
VER,Red Bull Racing,21.464,28.704,21.68,71.848,3,2025,Spanish Grand Prix
RUS,Mercedes,21.376,28.719,21.753,71.848,4,2025,Spanish Grand Prix
HAM,Ferrari,21.547,28.7,21.798000000000002,72.045,5,2025,Spanish Grand Prix
ANT,Mercedes,21.524,28.74,21.847,72.111,6,2025,Spanish Grand Prix
LEC,Ferrari,21.458,28.729,21.944,72.131,7,2025,Spanish Grand Prix
GAS,Alpine,21.594,28.747,21.858,72.199,8,2025,Spanish Grand Prix
HAD,Racing Bulls,21.564,28.822,21.866,72.252,9,2025,Spanish Grand Prix
ALO,Aston Martin,21.633,28.879,21.772,72.284,10,2025,Spanish Grand Prix
ALB,Williams,21.465,29.111,22.065,72.641,11,2025,Spanish Grand Prix
BOR,Kick Sauber,21.556,29.102,22.098,72.756,12,2025,Spanish Grand Prix
LAW,Racing Bulls,21.693,29.083,21.987,72.763,13,2025,Spanish Grand Prix
STR,Aston Martin,21.604,29.299,22.135,73.038,14,2025,Spanish Grand Prix
BEA,Haas F1 Team,21.666,29.236,22.172,73.074,15,2025,Spanish Grand Prix
HUL,Kick Sauber,21.713,29.182,22.295,73.19,16,2025,Spanish Grand Prix
OCO,Haas F1 Team,21.68,29.261,22.26,73.201,17,2025,Spanish Grand Prix
SAI,Williams,21.571,29.37,22.262,73.203,18,2025,Spanish Grand Prix
COL,Alpine,21.768,29.361,22.205,73.334,19,2025,Spanish Grand Prix
TSU,Red Bull Racing,21.804,29.379,22.202,73.385,20,2025,Spanish Grand Prix
RUS,Mercedes,19.781,22.281,28.837,70.899,1,2025,Canadian Grand Prix
VER,Red Bull Racing,19.718,22.4,28.941,71.059,2,2025,Canadian Grand Prix
PIA,McLaren,19.888,22.517,28.715,71.12,3,2025,Canadian Grand Prix
ANT,Mercedes,19.877,22.491,29.023,71.391,4,2025,Canadian Grand Prix
HAM,Ferrari,19.995,22.544,28.987,71.526,5,2025,Canadian Grand Prix
ALO,Aston Martin,19.928,22.596,29.062,71.586,6,2025,Canadian Grand Prix
NOR,McLaren,20.107,22.606,28.886,71.599,7,2025,Canadian Grand Prix
LEC,Ferrari,20.046,22.607,28.973,71.626,8,2025,Canadian Grand Prix
HAD,Racing Bulls,20.043,22.789,29.035,71.867,9,2025,Canadian Grand Prix
ALB,Williams,20.157,22.65,29.085,71.892,10,2025,Canadian Grand Prix
TSU,Red Bull Racing,20.139,22.714,29.249,72.102,11,2025,Canadian Grand Prix
COL,Alpine,20.147,22.645,29.35,72.142,12,2025,Canadian Grand Prix
HUL,Kick Sauber,20.241,22.771,29.171,72.183,13,2025,Canadian Grand Prix
BEA,Haas F1 Team,20.104,22.679,29.523,72.306,14,2025,Canadian Grand Prix
OCO,Haas F1 Team,20.246,22.906,29.226,72.378,15,2025,Canadian Grand Prix
BOR,Kick Sauber,20.332,22.886,29.167,72.385,16,2025,Canadian Grand Prix
SAI,Williams,20.27,22.935,29.193,72.398,17,2025,Canadian Grand Prix
STR,Aston Martin,20.296,22.891,29.33,72.517,18,2025,Canadian Grand Prix
LAW,Racing Bulls,20.119,23.021,29.385,72.525,19,2025,Canadian Grand Prix
GAS,Alpine,20.045,23.006,29.616,72.667,20,2025,Canadian Grand Prix
NOR,McLaren,16.285,28.436,19.25,63.971,1,2025,Austrian Grand Prix
LEC,Ferrari,16.371,28.763,19.358,64.492,2,2025,Austrian Grand Prix
PIA,McLaren,16.469,28.792,19.293,64.554,3,2025,Austrian Grand Prix
HAM,Ferrari,16.366,28.703,19.513,64.582,4,2025,Austrian Grand Prix
RUS,Mercedes,16.34,28.979,19.444,64.763,5,2025,Austrian Grand Prix
LAW,Racing Bulls,16.526,28.839,19.561,64.926,6,2025,Austrian Grand Prix
VER,Red Bull Racing,16.439,28.901,19.496,64.836,7,2025,Austrian Grand Prix
BOR,Kick Sauber,16.492,28.868,19.486,64.846,8,2025,Austrian Grand Prix
ANT,Mercedes,16.338,29.161,19.553,65.052,9,2025,Austrian Grand Prix
GAS,Alpine,16.461,28.813,19.572,64.846,10,2025,Austrian Grand Prix
ALO,Aston Martin,16.494,29.038,19.596,65.128,11,2025,Austrian Grand Prix
ALB,Williams,16.395,28.779,19.969,65.143,12,2025,Austrian Grand Prix
HAD,Racing Bulls,16.556,28.822,19.685,65.063,13,2025,Austrian Grand Prix
COL,Alpine,16.626,28.974,19.678,65.278,14,2025,Austrian Grand Prix
BEA,Haas F1 Team,16.553,28.878,19.787,65.218,15,2025,Austrian Grand Prix
STR,Aston Martin,16.508,29.036,19.785,65.329,16,2025,Austrian Grand Prix
OCO,Haas F1 Team,16.613,29.012,19.739,65.364,17,2025,Austrian Grand Prix
TSU,Red Bull Racing,16.574,29.027,19.768,65.369,18,2025,Austrian Grand Prix
SAI,Williams,16.515,29.13,19.937,65.582,19,2025,Austrian Grand Prix
HUL,Kick Sauber,16.581,29.067,19.958,65.606,20,2025,Austrian Grand Prix
VER,Red Bull Racing,27.493,33.973,23.426,84.892,1,2025,British Grand Prix
PIA,McLaren,27.615,34.113,23.267,84.995,2,2025,British Grand Prix
NOR,McLaren,27.659,34.027,23.324,85.01,3,2025,British Grand Prix
RUS,Mercedes,27.644,34.163,23.222,85.029,4,2025,British Grand Prix
HAM,Ferrari,27.528,34.179,23.377,85.084,5,2025,British Grand Prix
LEC,Ferrari,27.635,34.036,23.45,85.121,6,2025,British Grand Prix
ANT,Mercedes,27.658,34.279,23.437,85.374,7,2025,British Grand Prix
BEA,Haas F1 Team,27.698,34.297,23.476,85.471,8,2025,British Grand Prix
ALO,Aston Martin,27.645,34.365,23.583,85.593,9,2025,British Grand Prix
GAS,Alpine,27.777,34.533,23.401,85.711,10,2025,British Grand Prix
SAI,Williams,27.693,34.449,23.604,85.746,11,2025,British Grand Prix
TSU,Red Bull Racing,27.864,34.342,23.62,85.826,12,2025,British Grand Prix
HAD,Racing Bulls,27.906,34.458,23.5,85.864,13,2025,British Grand Prix
ALB,Williams,27.803,34.456,23.63,85.889,14,2025,British Grand Prix
OCO,Haas F1 Team,27.861,34.401,23.688,85.95,15,2025,British Grand Prix
LAW,Racing Bulls,28.109,34.663,23.668,86.44,16,2025,British Grand Prix
BOR,Kick Sauber,27.991,34.778,23.677,86.446,17,2025,British Grand Prix
STR,Aston Martin,27.904,34.823,23.777,86.504,18,2025,British Grand Prix
HUL,Kick Sauber,28.176,34.82,23.578,86.574,19,2025,British Grand Prix
COL,Alpine,28.281,35.024,23.755,87.06,20,2025,British Grand Prix
NOR,McLaren,30.005,42.579,27.978,100.562,1,2025,Belgian Grand Prix
PIA,McLaren,30.134,42.623,27.869,100.626,2,2025,Belgian Grand Prix
LEC,Ferrari,29.819,43.049,28.032,100.9,3,2025,Belgian Grand Prix
VER,Red Bull Racing,30.192,42.785,27.926,100.903,4,2025,Belgian Grand Prix
ALB,Williams,29.858,43.226,28.117,101.201,5,2025,Belgian Grand Prix
RUS,Mercedes,29.899,43.485,27.87,101.254,6,2025,Belgian Grand Prix
TSU,Red Bull Racing,30.087,43.081,28.077,101.245,7,2025,Belgian Grand Prix
HAD,Racing Bulls,30.118,43.172,27.991,101.281,8,2025,Belgian Grand Prix
LAW,Racing Bulls,29.97,43.349,27.978,101.297,9,2025,Belgian Grand Prix
BOR,Kick Sauber,30.083,43.267,27.986,101.336,10,2025,Belgian Grand Prix
OCO,Haas F1 Team,29.828,43.749,27.948,101.525,11,2025,Belgian Grand Prix
BEA,Haas F1 Team,30.147,43.172,28.298,101.617,12,2025,Belgian Grand Prix
GAS,Alpine,30.009,43.619,28.005,101.633,13,2025,Belgian Grand Prix
HUL,Kick Sauber,30.164,43.407,28.136,101.707,14,2025,Belgian Grand Prix
SAI,Williams,30.157,43.479,28.055,101.691,15,2025,Belgian Grand Prix
